map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
---------------------------------------------------------------------------------------------------------------------------------------
16.65-0.36     1              250            16.6398        -0.3646        275.6008       -14.6296       0.00           
16.65-0.36     1              350            16.6399        -0.3639        275.6002       -14.6292       2.55 
16.661-0.343   2              250            16.6808        -0.3430        275.6010       -14.5833       0.00           
16.661-0.343   2              350            16.6812        -0.3425        275.6007       -14.5827       2.31  
16.905+0.343   1              250            16.9141        0.3245         275.1064       -14.0633       0.00           
16.905+0.343   1              350            16.9139        0.3236         275.1071       -14.0639       3.32 
16.905+0.343   3              250            16.9056        0.3497         275.0793       -14.0589       0.00           
16.905+0.343   3              350            16.9077        0.3501         275.0800       -14.0569       7.70
16.941+0.458   1              250            16.9017        0.4543         274.9824       -14.0130       0.00           
16.941+0.458   1              350            16.9029        0.4532         274.9840       -14.0125       5.86
17.082+0.442   1              250            17.0578        0.4085         275.0999       -13.8970       0.00           
17.082+0.442   1              350            17.0579        0.4106         275.0980       -13.8959       7.57    
18.145-0.416   2              250            18.1815        -0.4710        276.4413       -13.3171       0.00           
18.145-0.416   2              350            18.1817        -0.4720        276.4423       -13.3174       3.67
18.232-0.153   1              250            18.2288        -0.1207        276.1459       -13.1116       0.00           
18.232-0.153   1              350            18.2287        -0.1199        276.1451       -13.1113       2.90 
18.287-0.256   1              250            18.2906        -0.3200        276.3565       -13.1501       0.00           
18.287-0.256   1              350            18.2905        -0.3202        276.3566       -13.1503       0.80 
18.287-0.256   4              250            18.3007        -0.3120        276.3541       -13.1374       0.00           
18.287-0.256   4              350            18.3016        -0.3115        276.3540       -13.1364       3.71  
18.287-0.256   11             250            18.2656        -0.1561        276.1957       -13.0956       0.00           
18.287-0.256   11             350            18.2656        -0.1557        276.1953       -13.0954       1.44    
18.472-0.18    1              250            18.4504        -0.2030        276.3269       -12.9542       0.00           
18.472-0.18    1              350            18.4504        -0.2026        276.3265       -12.9540       1.44  
18.571-0.435   1              250            18.5686        -0.4448        276.6029       -12.9624       0.00           
18.571-0.435   1              350            18.5680        -0.4432        276.6012       -12.9622       6.15 
18.886+0.068   1              250            18.8208        0.0106         276.3106       -12.5269       0.00           
18.886+0.068   1              350            18.8217        0.0108         276.3109       -12.5260       3.32  
18.886+0.068   2              250            18.8659        -0.0160        276.3563       -12.4994       0.00           
18.886+0.068   2              350            18.8651        -0.0143        276.3544       -12.4993       6.76   
18.886+0.068   8              250            18.8888        0.1353         276.2303       -12.4085       0.00           
18.886+0.068   8              350            18.8894        0.1362         276.2297       -12.4075       3.89  
18.907-0.09    1              250            18.9070        -0.0934        276.4461       -12.4992       0.00           
18.907-0.09    1              350            18.9059        -0.0924        276.4446       -12.4997       5.35  
18.927-0.524   2              250            18.9311        -0.5154        276.8401       -12.6746       0.00           
18.927-0.524   2              350            18.9320        -0.5157        276.8408       -12.6739       3.42  
18.949+0.039   1              250            18.9223        0.0552         276.3188       -12.4163       0.00           
18.949+0.039   1              350            18.9217        0.0551         276.3186       -12.4169       2.19   
18.972-0.404   1              250            18.9007        -0.4038        276.7244       -12.6495       0.00           
18.972-0.404   1              350            18.8999        -0.4041        276.7243       -12.6504       3.08   
19.036-0.439   1              250            19.0072        -0.4504        276.8175       -12.5770       0.00           
19.036-0.439   1              350            19.0079        -0.4505        276.8179       -12.5764       2.55 
19.07+0.536    1              250            19.0768        0.5427         275.9518       -12.0517       0.00           
19.07+0.536    1              350            19.0773        0.5433         275.9515       -12.0510       2.81   
19.082-0.291   1              250            18.8524        -0.1811        276.4994       -12.5884       0.00           
19.082-0.291   1              350            18.8531        -0.1806        276.4993       -12.5876       3.10  
19.082-0.291   2              250            18.9128        -0.2083        276.5530       -12.5477       0.00           
19.082-0.291   2              350            18.9131        -0.2079        276.5527       -12.5472       1.80 
19.113+0.456   1              250            19.0954        0.4440         276.0499       -12.0815       0.00           
19.113+0.456   1              350            19.0965        0.4447         276.0498       -12.0802       4.69 
19.113+0.456   2              250            19.1137        0.4595         276.0447       -12.0581       0.00           
19.113+0.456   2              350            19.1139        0.4601         276.0442       -12.0576       2.28   
19.159-0.493   1              250            19.1293        -0.5352        276.9526       -12.5083       0.00           
19.159-0.493   1              350            19.1293        -0.5360        276.9533       -12.5087       2.88   
19.242+0.071   1              250            19.2427        0.0691         276.4593       -12.1265       0.00           
19.242+0.071   1              350            19.2432        0.0696         276.4591       -12.1258       2.55  
19.284+0.455   2              250            19.3201        0.4442         276.1572       -11.8828       0.00           
19.284+0.455   2              350            19.3206        0.4443         276.1574       -11.8823       1.84    
19.284+0.455   3              250            19.3046        0.4854         276.1126       -11.8773       0.00           
19.284+0.455   3              350            19.3035        0.4841         276.1132       -11.8788       6.13      
19.52+0.067    1              250            19.5284        0.0475         276.6151       -11.8838       0.00           
19.52+0.067    1              350            19.5288        0.0487         276.6142       -11.8829       4.55     
19.653-0.118   1              250            19.6024        -0.0934        276.7777       -11.8840       0.00           
19.653-0.118   1              350            19.6022        -0.0932        276.7774       -11.8841       1.02 
19.653-0.118   2              250            19.6441        -0.1542        276.8525       -11.8754       0.00           
19.653-0.118   2              350            19.6450        -0.1531        276.8520       -11.8741       5.12 
19.653-0.118   3              250            19.6573        -0.1234        276.8310       -11.8494       0.00           
19.653-0.118   3              350            19.6576        -0.1231        276.8308       -11.8490       1.53  
19.834-0.749   1              250            19.8495        -0.7268        277.4683       -11.9594       0.00           
19.834-0.749   1              350            19.8505        -0.7268        277.4688       -11.9585       3.60 
19.968-0.104   1              250            19.9689        -0.1043        276.9618       -11.5647       0.00           
19.968-0.104   1              350            19.9697        -0.1043        276.9621       -11.5640       2.88  
21.412-0.531   1              250            21.4496        -0.6118        278.1190       -10.4877       0.00           
21.412-0.531   1              350            21.4500        -0.6111        278.1185       -10.4870       2.90  
21.918-0.002   1              250            21.9198        -0.0033        277.7916       -9.7895        0.00           
21.918-0.002   1              350            21.9200        -0.0025        277.7910       -9.7890        2.97
22.056+0.19    1              250            22.0278        0.1928         277.6660       -9.6030        0.00           
22.056+0.19    1              350            22.0280        0.1924         277.6664       -9.6030        1.61 
22.253+0.03    1              250            22.2420        0.0360         277.9074       -9.4857        0.00           
22.253+0.03    1              350            22.2431        0.0355         277.9084       -9.4849        4.35   
22.429+0.269   7              250            22.4525        0.3097         277.7602       -9.1724        0.00           
22.429+0.269   7              350            22.4518        0.3076         277.7618       -9.1740        7.97      
22.429+0.269   10             250            22.5160        0.3096         277.7901       -9.1162        0.00           
22.429+0.269   10             350            22.5165        0.3098         277.7901       -9.1156        1.94
22.429+0.269   11             250            22.5128        0.3262         277.7737       -9.1113        0.00           
22.429+0.269   11             350            22.5131        0.3259         277.7741       -9.1112        1.53 
22.429+0.269   12             250            22.5084        0.3437         277.7559       -9.1071        0.00           
22.429+0.269   12             350            22.5087        0.3449         277.7550       -9.1063        4.45       
22.429+0.269   13             250            22.5052        0.3550         277.7443       -9.1047        0.00           
22.429+0.269   13             350            22.5052        0.3557         277.7436       -9.1044        2.52  
22.866-0.41    1              250            22.8312        -0.4066        278.5809       -9.1673        0.00           
22.866-0.41    1              350            22.8316        -0.4070        278.5815       -9.1671        2.04 
23.078+0.569   1              250            23.0364        0.4993         277.8635       -8.5671        0.00           
23.078+0.569   1              350            23.0367        0.5015         277.8616       -8.5658        7.99    
23.234-0.27    1              250            23.2272        -0.2755        278.6478       -8.7554        0.00           
23.234-0.27    1              350            23.2273        -0.2753        278.6477       -8.7552        0.80     
23.252+0.017   2              250            23.2442        0.0061         278.4029       -8.6105        0.00           
23.252+0.017   2              350            23.2434        0.0078         278.4011       -8.6105        6.76 
23.321-0.078   1              250            23.3240        -0.0771        278.5148       -8.5781        0.00           
23.321-0.078   1              350            23.3231        -0.0777        278.5149       -8.5792        3.89  
23.588-0.009   1              250            23.5347        -0.0589        278.5967       -8.3827        0.00           
23.588-0.009   1              350            23.5352        -0.0591        278.5971       -8.3823        1.94   
23.721+0.257   1              250            23.7226        0.2599         278.3983       -8.0690        0.00           
23.721+0.257   1              350            23.7231        0.2601         278.3984       -8.0685        1.94 
23.721+0.257   2              250            23.7178        0.2732         278.3842       -8.0671        0.00           
23.721+0.257   2              350            23.7185        0.2730         278.3847       -8.0666        2.62         
23.846-0.304   1              250            23.8462        -0.3035        278.9610       -8.2188        0.00           
23.846-0.304   1              350            23.8480        -0.3041        278.9624       -8.2175        6.83  
23.856-0.169   1              250            23.8578        -0.1707        278.8473       -8.1474        0.00           
23.856-0.169   1              350            23.8590        -0.1704        278.8476       -8.1462        4.45  
23.856-0.169   2              250            23.8897        -0.1801        278.8706       -8.1234        0.00           
23.856-0.169   2              350            23.8898        -0.1804        278.8709       -8.1234        1.14    
24.044+0.087   1              250            24.0373        0.1065         278.6823       -7.8604        0.00           
24.044+0.087   1              350            24.0378        0.1066         278.6824       -7.8599        1.84    
24.044+0.087   2              250            24.0485        0.1037         278.6900       -7.8518        0.00           
24.044+0.087   2              350            24.0482        0.1050         278.6887       -7.8514        4.80 
24.097+0.349   2              250            24.0966        0.3491         278.4925       -7.6960        0.00           
24.097+0.349   2              350            24.0967        0.3494         278.4923       -7.6958        1.14 
24.153+0.394   1              250            24.1538        0.3948         278.4782       -7.6242        0.00           
24.153+0.394   1              350            24.1549        0.3954         278.4782       -7.6229        4.51   
24.392+0.448   3              250            24.3843        0.4733         278.5151       -7.3834        0.00           
24.392+0.448   3              350            24.3864        0.4741         278.5154       -7.3812        8.09  
24.427-0.527   1              250            24.4285        -0.5267        279.4314       -7.8041        0.00           
24.427-0.527   1              350            24.4292        -0.5268        279.4318       -7.8036        2.55 
24.485-0.22    3              250            24.5310        -0.2105        279.1955       -7.5679        0.00           
24.485-0.22    3              350            24.5316        -0.2099        279.1952       -7.5671        3.05    
24.485-0.22    4              250            24.5469        -0.2145        279.2064       -7.5556        0.00           
24.485-0.22    4              350            24.5468        -0.2140        279.2059       -7.5555        1.84 
24.491-0.363   1              250            24.4919        -0.3628        279.3138       -7.6726        0.00           
24.491-0.363   1              350            24.4923        -0.3625        279.3138       -7.6721        1.80   
24.528-0.136   1              250            24.5068        -0.1692        279.1473       -7.5704        0.00           
24.528-0.136   1              350            24.5068        -0.1687        279.1468       -7.5702        1.80  
24.528-0.136   2              250            24.5111        -0.1483        279.1305       -7.5570        0.00           
24.528-0.136   2              350            24.5100        -0.1477        279.1295       -7.5577        4.51     
24.555+0.214   1              250            24.5915        0.2123         278.8449       -7.3197        0.00           
24.555+0.214   1              350            24.5915        0.2123         278.8449       -7.3197        0.00   
25.205-0.466   1              250            25.1914        -0.4624        279.7267       -7.0968        0.00           
25.205-0.466   1              350            25.1916        -0.4629        279.7273       -7.0968        1.94  
25.273-0.74    1              250            25.2931        -0.7628        280.0428       -7.1441        0.00           
25.273-0.74    1              350            25.2945        -0.7634        280.0440       -7.1431        5.48   
25.344-0.063   2              250            25.3485        -0.0976        279.4728       -6.7898        0.00           
25.344-0.063   2              350            25.3500        -0.0974        279.4733       -6.7884        5.45   
25.354+0.263   1              250            25.3515        0.2325         279.1789       -6.6356        0.00           
25.354+0.263   1              350            25.3510        0.2335         279.1778       -6.6356        4.02  
25.383-0.303   1              250            25.3860        -0.3023        279.6733       -6.8504        0.00           
25.383-0.303   1              350            25.3868        -0.3017        279.6731       -6.8495        3.60   
25.41-0.452    1              250            25.4117        -0.4507        279.8180       -6.8956        0.00           
25.41-0.452    1              350            25.4120        -0.4502        279.8177       -6.8952        2.10    
25.426-0.175   1              250            25.4124        -0.1600        279.5582       -6.7617        0.00           
25.426-0.175   1              350            25.4133        -0.1594        279.5580       -6.7606        3.89  
25.426-0.175   2              250            25.4551        -0.2092        279.6219       -6.7463        0.00           
25.426-0.175   2              350            25.4551        -0.2094        279.6221       -6.7464        0.72    
25.609+0.228   1              250            25.5867        0.2459         279.2757       -6.4205        0.00           
25.609+0.228   1              350            25.5867        0.2462         279.2755       -6.4204        1.08  
25.614-0.307   1              250            25.6147        -0.3066        279.7828       -6.6492        0.00           
25.614-0.307   1              350            25.6149        -0.3061        279.7824       -6.6488        1.94  
25.726-0.256   1              250            25.7255        -0.2561        279.7887       -6.5276        0.00           
25.726-0.256   1              350            25.7260        -0.2573        279.7900       -6.5277        4.68  
25.772+0.215   3              250            25.8350        0.2714         279.3677       -6.1882        0.00           
25.772+0.215   3              350            25.8351        0.2719         279.3673       -6.1879        1.84  
25.917-0.234   1              250            25.9182        -0.2350        279.8587       -6.3466        0.00           
25.917-0.234   1              350            25.9187        -0.2341        279.8582       -6.3458        3.71  
26.432-0.662   1              250            26.4336        -0.6722        280.4871       -6.0886        0.00           
26.432-0.662   1              350            26.4330        -0.6708        280.4856       -6.0885        5.48 
26.615-0.112   1              250            26.6222        -0.1056        280.0674       -5.6616        0.00           
26.615-0.112   1              350            26.6231        -0.1051        280.0674       -5.6606        3.71 
26.615-0.112   2              250            26.6355        -0.1006        280.0691       -5.6475        0.00           
26.615-0.112   2              350            26.6345        -0.1012        280.0692       -5.6486        4.20   
26.851+0.18    2              250            26.8515        0.2232         279.8794       -5.3071        0.00           
26.851+0.18    2              350            26.8526        0.2237         279.8794       -5.3059        4.35     
26.941-0.301   1              250            26.9410        -0.3005        280.3882       -5.4674        0.00           
